,ADM,CREDITO,ENTRADA,PRAZO,PARCELAS,STATUS,VENCIMENTO,TRANSFERENCIA,COD
Auto,PORTO,54.000,31.500,39,1.004,Disponivel,15/09/2025,Consultar,C07
Auto,PORTO,54.050,21.000,36,1.405,Disponivel,15/09/2025,712,C127
Auto,PORTO,54.300,19.500,39,1.419,Disponivel,15/09/2025,700,C127
Auto,VOLKS,55.000,26.900,76,795,Disponivel,15/08/2025,Consultar,C09
Auto,PORTO,55.300,22.500,40,1.286,Disponivel,15/09/2025,Consultar,C127
Auto,PORTO,55.300,24.500,40,1.241,Disponivel,15/09/2025,712,C127
Auto,MYCON,56.000,21.000,48,35 x 1.280 + 13 x 950,Disponivel,Consultar,Consultar,C84
Auto,UNICOOB,56.550,39.600,20,1.062,Disponivel,Consultar,350,C23
Auto,HS,57.700,25.700,35,1.334,Disponivel,Consultar,824,C23
Auto,PORTO,58.270,20.300,25,2.167,Disponivel,15/09/2025,Consultar,C07
Auto,PORTO,58.800,25.200,31,1.626,Disponivel,15/09/2025,Consultar,C07
Auto,BRADESCO,59.450,40.200,45,572,Disponivel,Consultar,800,C23
Auto,BRADESCO,59.450,40.200,45,572,Disponivel,Consultar,800,C23
Auto,MYCON,60.000,27.000,82,799,Disponivel,Consultar,Consultar,C102
Auto,HS,60.000,27.500,94,722,Disponivel,Consultar,600,C23
Auto,BRADESCO,60.000,35.000,25,1.576,Disponivel,10/09/2025,800,C117
Auto,HS,60.800,28.250,81,835,Disponivel,Consultar,839,C23
Auto,PORTO,61.000,28.500,33,1.551,Disponivel,15/09/2025,Consultar,C07
Auto,MYCON,62.300,24.000,49,1.280,Disponivel,Consultar,Consultar,C84
Auto,HS,62.300,29.000,64,1.142,Disponivel,Consultar,863,C23
Auto,EMBRACON,62.500,26.500,76,919,Disponivel,10/09/2025,Consultar,C07
Auto,PORTO,62.600,31.000,28,1.716,Disponivel,15/09/2025,720,C127
Auto,DISAL,62.650,41.850,26,941,Disponivel,Consultar,699,C23
Auto,HS,62.700,26.950,53,1.241,Disponivel,Consultar,933,C23
